city,area,latitude,longitude,risk_level,crime_description
Bangalore,Indiranagar,12.9716,77.6408,Medium,DRUG OFFENSE
Mumbai,Bandra,19.0606,72.8366,Low,VANDALISM
Ahmedabad,Navrangpura,23.0422,72.5551,Low,IDENTITY THEFT
Chennai,Adyar,13.0067,80.257,High,SEXUAL ASSAULT
Lucknow,Alambagh,26.7923,80.8899,High,SEXUAL ASSAULT
Pune,Kalyani Nagar,18.5485,73.9028,Medium,EXTORTION
Lucknow,Gomti Nagar,26.8467,81.0,Low,PUBLIC INTOXICATION
Jaipur,Vaishali Nagar,26.9196,75.7395,Medium,EXTORTION
Lucknow,Hazratganj,26.8508,80.9462,Low,ARSON
Bangalore,Whitefield,12.9698,77.7499,Low,TRAFFIC VIOLATION
Hyderabad,Begumpet,17.444,78.4637,Low,TRAFFIC VIOLATION
Delhi,Saket,28.5206,77.2073,Low,DOMESTIC VIOLENCE
Lucknow,Hazratganj,26.8508,80.9462,Low,ROBBERY
Ahmedabad,Satellite,23.03,72.5171,High,HOMICIDE
Hyderabad,Banjara Hills,17.4123,78.4296,Medium,DRUG OFFENSE
Kolkata,Behala,22.501,88.3141,Low,ROBBERY
Chennai,T. Nagar,13.042,80.2337,High,KIDNAPPING
Chennai,Adyar,13.0067,80.257,High,SHOPLIFTING
Kolkata,Behala,22.501,88.3141,Low,BURGLARY
Kolkata,Behala,22.501,88.3141,Low,BURGLARY
Hyderabad,Begumpet,17.444,78.4637,Medium,EXTORTION
Delhi,Saket,28.5206,77.2073,Medium,EXTORTION
Delhi,Rohini,28.7492,77.0574,Low,PUBLIC INTOXICATION
Pune,Kondhwa,18.4575,73.8901,High,DOMESTIC VIOLENCE
Delhi,Rohini,28.7492,77.0574,Medium,EXTORTION
Hyderabad,Gachibowli,17.4448,78.3498,Low,ARSON
Kolkata,Salt Lake,22.5867,88.417,Low,DOMESTIC VIOLENCE
Lucknow,Gomti Nagar,26.8467,81.0,Low,ARSON
Pune,Viman Nagar,18.5679,73.9143,Low,COUNTERFEITING
Bangalore,Indiranagar,12.9716,77.6408,Medium,ASSAULT
Mumbai,Andheri,19.1197,72.8468,Low,SHOPLIFTING
Mumbai,Dadar,19.0184,72.8436,Medium,DRUG OFFENSE
Delhi,Rohini,28.7492,77.0574,Low,BURGLARY
Bangalore,Koramangala,12.9352,77.6142,Low,ARSON
Delhi,Rohini,28.7492,77.0574,Medium,ILLEGAL POSSESSION
Kolkata,Behala,22.501,88.3141,Low,CYBERCRIME
Mumbai,Bandra,19.0606,72.8366,Medium,ILLEGAL POSSESSION
Mumbai,Dadar,19.0184,72.8436,Low,TRAFFIC VIOLATION
Pune,Kasba Peth,18.5196,73.8574,Medium,ILLEGAL POSSESSION
Mumbai,Bandra,19.0606,72.8366,Low,ARSON
Mumbai,Dadar,19.0184,72.8436,High,KIDNAPPING
Delhi,Rohini,28.7492,77.0574,High,HOMICIDE
Lucknow,Alambagh,26.7923,80.8899,Medium,EXTORTION
Mumbai,Bandra,19.0606,72.8366,Medium,ROBBERY
Pune,Kasba Peth,18.5196,73.8574,Low,CYBERCRIME
Mumbai,Bandra,19.0606,72.8366,Medium,EXTORTION
Ahmedabad,Satellite,23.03,72.5171,High,HOMICIDE
Mumbai,Andheri,19.1197,72.8468,Medium,ROBBERY
Hyderabad,Begumpet,17.444,78.4637,Medium,DRUG OFFENSE
Pune,Kasba Peth,18.5196,73.8574,Low,TRAFFIC VIOLATION
Mumbai,Bandra,19.0606,72.8366,Medium,ILLEGAL POSSESSION
Delhi,Rohini,28.7492,77.0574,High,CYBERCRIME
Chennai,T. Nagar,13.042,80.2337,Medium,ASSAULT
Ahmedabad,Satellite,23.03,72.5171,High,SEXUAL ASSAULT
Jaipur,Vaishali Nagar,26.9196,75.7395,Low,ARSON
Pune,Hadapsar,18.4967,73.9347,Low,VANDALISM
Bangalore,Indiranagar,12.9716,77.6408,High,DOMESTIC VIOLENCE
Kolkata,Park Street,22.5531,88.3501,Low,CYBERCRIME
Bangalore,Whitefield,12.9698,77.7499,Low,TRAFFIC VIOLATION
Hyderabad,Gachibowli,17.4448,78.3498,Low,PUBLIC INTOXICATION
Chennai,T. Nagar,13.042,80.2337,High,CYBERCRIME
Bangalore,Koramangala,12.9352,77.6142,High,SEXUAL ASSAULT
Mumbai,Andheri,19.1197,72.8468,Medium,PUBLIC INTOXICATION
Mumbai,Andheri,19.1197,72.8468,Low,VANDALISM
Mumbai,Bandra,19.0606,72.8366,Low,TRAFFIC VIOLATION
Hyderabad,Gachibowli,17.4448,78.3498,High,KIDNAPPING
Bangalore,Koramangala,12.9352,77.6142,Medium,FIREARM OFFENSE
Bangalore,Indiranagar,12.9716,77.6408,Medium,FIREARM OFFENSE
Delhi,Dwarka,28.5921,77.046,Low,IDENTITY THEFT
Ahmedabad,Navrangpura,23.0422,72.5551,High,KIDNAPPING
Hyderabad,Banjara Hills,17.4123,78.4296,Low,CYBERCRIME
Chennai,T. Nagar,13.042,80.2337,Medium,DRUG OFFENSE
Lucknow,Hazratganj,26.8508,80.9462,High,COUNTERFEITING
Bangalore,Koramangala,12.9352,77.6142,Low,IDENTITY THEFT
Mumbai,Andheri,19.1197,72.8468,Low,SHOPLIFTING
Bangalore,Koramangala,12.9352,77.6142,Low,IDENTITY THEFT
Delhi,Dwarka,28.5921,77.046,Low,HOMICIDE
Bangalore,Indiranagar,12.9716,77.6408,Low,PUBLIC INTOXICATION
Mumbai,Bandra,19.0606,72.8366,Low,TRAFFIC VIOLATION
Jaipur,Malviya Nagar,26.8497,75.818,Medium,ASSAULT
Lucknow,Alambagh,26.7923,80.8899,Medium,ILLEGAL POSSESSION
Delhi,Saket,28.5206,77.2073,High,KIDNAPPING
Pune,Budhwar Peth,18.5167,73.855,High,CYBERCRIME
Mumbai,Andheri,19.1197,72.8468,Low,ARSON
Kolkata,Park Street,22.5531,88.3501,High,SEXUAL ASSAULT
Hyderabad,Gachibowli,17.4448,78.3498,High,HOMICIDE
Lucknow,Gomti Nagar,26.8467,81.0,Low,CYBERCRIME
Delhi,Saket,28.5206,77.2073,Low,SHOPLIFTING
Delhi,Rohini,28.7492,77.0574,Low,FRAUD
Delhi,Saket,28.5206,77.2073,High,SEXUAL ASSAULT
Bangalore,Indiranagar,12.9716,77.6408,High,KIDNAPPING
Delhi,Saket,28.5206,77.2073,Medium,ILLEGAL POSSESSION
Pune,Kondhwa,18.4575,73.8901,Medium,EXTORTION
Delhi,Saket,28.5206,77.2073,High,HOMICIDE
Chennai,Adyar,13.0067,80.257,Low,TRAFFIC VIOLATION
Kolkata,Salt Lake,22.5867,88.417,Medium,ROBBERY
Mumbai,Andheri,19.1197,72.8468,High,SEXUAL ASSAULT
Bangalore,Koramangala,12.9352,77.6142,High,SEXUAL ASSAULT
Hyderabad,Gachibowli,17.4448,78.3498,High,KIDNAPPING
Chennai,T. Nagar,13.042,80.2337,Low,ROBBERY
Mumbai,Dadar,19.0184,72.8436,Medium,ASSAULT
Jaipur,Mansarovar,26.8554,75.7705,Low,SHOPLIFTING
Chennai,Adyar,13.0067,80.257,Low,PUBLIC INTOXICATION
