Report Number,Date of Occurrence,city,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Case Closed,Date Case Closed,area_location,latitude,longitude
1,1/1/2020 0:00,Ahmedabad,576,IDENTITY THEFT,16,M,Blunt Object,Violent Crime,No,,Navrangpura,23.0422,72.5551
2,1/1/2020 1:00,Chennai,128,HOMICIDE,37,M,Poison,Other Crime,No,,Velachery,12.9784,80.2209
4,1/1/2020 3:00,Pune,170,BURGLARY,49,F,Firearm,Other Crime,Yes,29-04-2020 05:00,Kalyani Nagar,18.5485,73.9028
5,1/1/2020 4:00,Pune,421,VANDALISM,30,F,Other,Other Crime,Yes,8/1/2020 21:00,Kondhwa,18.4575,73.8901
6,1/1/2020 5:00,Delhi,442,ASSAULT,16,M,Firearm,Violent Crime,Yes,30-03-2020 03:00,Saket,28.5206,77.2073
7,1/1/2020 6:00,Chennai,172,VEHICLE - STOLEN,64,F,Knife,Violent Crime,Yes,24-03-2020 16:00,Velachery,12.9784,80.2209
8,1/1/2020 7:00,Chennai,169,COUNTERFEITING,78,X,Knife,Other Crime,No,,Adyar,13.0067,80.257
9,1/1/2020 8:00,Mumbai,338,EXTORTION,41,X,Blunt Object,Other Crime,No,,Dadar,19.0184,72.8436
10,1/1/2020 9:00,Chennai,497,PUBLIC INTOXICATION,29,M,Knife,Other Crime,No,,Velachery,12.9784,80.2209
11,1/1/2020 10:00,Delhi,260,FRAUD,71,M,Explosives,Other Crime,Yes,1/2/2020 13:00,Dwarka,28.5921,77.046
14,1/1/2020 13:00,Mumbai,436,ASSAULT,32,X,None,Violent Crime,No,,Bandra,19.0606,72.8366
15,1/1/2020 14:00,Bangalore,266,SEXUAL ASSAULT,77,F,None,Violent Crime,No,,Koramangala,12.9352,77.6142
16,1/1/2020 15:00,Kolkata,357,COUNTERFEITING,51,F,Explosives,Other Crime,Yes,30-03-2020 07:00,Behala,22.501,88.3141
18,1/1/2020 17:00,Pune,342,ARSON,64,F,Other,Fire Accident,No,,Kasba Peth,18.5196,73.8574
19,1/1/2020 18:00,Bangalore,480,CYBERCRIME,11,M,None,Other Crime,Yes,24-01-2020 20:00,Indiranagar,12.9716,77.6408
20,1/1/2020 19:00,Bangalore,369,EXTORTION,62,F,Blunt Object,Other Crime,Yes,5/3/2020 18:00,Indiranagar,12.9716,77.6408
21,1/1/2020 20:00,Hyderabad,251,TRAFFIC VIOLATION,50,F,Poison,Traffic Fatality,Yes,22-01-2020 22:00,Begumpet,17.444,78.4637
22,1/1/2020 21:00,Mumbai,374,VANDALISM,64,F,Other,Other Crime,Yes,3/3/2020 12:00,Andheri,19.1197,72.8468
23,1/1/2020 22:00,Jaipur,507,SHOPLIFTING,69,F,Blunt Object,Other Crime,No,,Mansarovar,26.8554,75.7705
24,1/1/2020 23:00,Chennai,322,VANDALISM,77,F,Other,Other Crime,No,,Adyar,13.0067,80.257
25,1/2/2020 0:00,Bangalore,527,DRUG OFFENSE,18,F,Other,Other Crime,No,,Indiranagar,12.9716,77.6408
26,1/2/2020 1:00,Jaipur,282,ASSAULT,60,M,Firearm,Violent Crime,Yes,12/3/2020 16:00,Vaishali Nagar,26.9196,75.7395
27,1/2/2020 2:00,Pune,247,IDENTITY THEFT,49,M,Blunt Object,Violent Crime,No,,Yerawada,18.5575,73.899
28,1/2/2020 3:00,Lucknow,489,PUBLIC INTOXICATION,41,F,None,Other Crime,No,,Hazratganj,26.8508,80.9462
